metric,value,distribution
cheese,0.7340466036763954,zinc22
cheese,0.7798422688515204,zinc22
cheese,0.7676783691917681,zinc22
cheese,0.7290377181473439,zinc22
cheese,0.657706853209446,zinc22
cheese,0.6413500506663268,zinc22
cheese,0.7237953331409441,zinc22
cheese,0.5656528776798632,zinc22
cheese,0.7364138516993708,zinc22
cheese,0.7374059828436403,zinc22
cheese,0.6988042611433422,zinc22
cheese,0.5302436974601568,zinc22
cheese,0.5443026591582917,zinc22
cheese,0.6683663465522194,zinc22
cheese,0.6491550494559221,zinc22
cheese,0.7548687294189586,zinc22
cheese,0.7399873158267238,zinc22
cheese,0.6920793933721299,zinc22
cheese,0.4990818498389019,zinc22
cheese,0.7330116393904375,zinc22
cheese,0.6767948386891647,zinc22
cheese,0.7022932372805578,zinc22
cheese,0.6197490419818545,zinc22
cheese,0.7167097545857672,zinc22
cheese,0.6343961944127292,zinc22
cheese,0.6542748322339397,zinc22
cheese,0.6639792600550193,zinc22
cheese,0.5944201302371067,zinc22
cheese,0.5886846939695742,zinc22
cheese,0.5884030435134078,zinc22
cheese,0.5835744408617466,zinc22
cheese,0.6907986165849886,zinc22
cheese,0.5833627348657962,zinc22
cheese,0.7201676731199284,zinc22
cheese,0.6103223513773821,zinc22
cheese,0.7031054203287006,zinc22
cheese,0.6486175154691772,zinc22
cheese,0.7590194282866567,zinc22
cheese,0.6998083905054837,zinc22
cheese,0.6404811890732013,zinc22
cheese,0.6117274128446885,zinc22
cheese,0.752806754964605,zinc22
cheese,0.6606845957472973,zinc22
cheese,0.6736639615829764,zinc22
cheese,0.6857753779336114,zinc22
cheese,0.6381889655777597,zinc22
cheese,0.6638575027994358,zinc22
cheese,0.7758410844937862,zinc22
cheese,0.6511640091332265,zinc22
cheese,0.6950664738452327,zinc22
cheese,0.6179267136664804,zinc22
cheese,0.7848710045588193,zinc22
cheese,0.7064110030296933,zinc22
cheese,0.6356119287865329,zinc22
cheese,0.8127089912266745,zinc22
cheese,0.7528255045029556,zinc22
cheese,0.7027035056049015,zinc22
cheese,0.510422396188838,zinc22
cheese,0.6335909453717555,zinc22
cheese,0.6822364448726279,zinc22
cheese,0.7835650726191267,zinc22
cheese,0.7359781197702109,zinc22
cheese,0.6907210292864516,zinc22
cheese,0.5603470630125491,zinc22
cheese,0.6120826578429784,zinc22
cheese,0.6551148840412342,zinc22
cheese,0.6353727882404309,zinc22
cheese,0.5926009528050631,zinc22
cheese,0.7208979212680227,zinc22
cheese,0.6580804017107207,zinc22
cheese,0.6650635271076325,zinc22
cheese,0.7400019591380769,zinc22
cheese,0.7380456572432503,zinc22
cheese,0.7663648330479856,zinc22
cheese,0.635732625036499,zinc22
cheese,0.7535205852474451,zinc22
cheese,0.6881868070692498,zinc22
cheese,0.7162645201845089,zinc22
cheese,0.6533073729586347,zinc22
cheese,0.7727795220682961,zinc22
cheese,0.6268181942200003,zinc22
cheese,0.8090408952191777,zinc22
cheese,0.6532687185686248,zinc22
cheese,0.5980644754123234,zinc22
cheese,0.7311460695523496,zinc22
cheese,0.6147052434222863,zinc22
cheese,0.5041096098016241,zinc22
cheese,0.6106361977786514,zinc22
cheese,0.8499578518877575,zinc22
cheese,0.6507022374903303,zinc22
cheese,0.580697236178485,zinc22
cheese,0.7171356726375968,zinc22
cheese,0.6147141484570714,zinc22
cheese,0.6930480949387958,zinc22
cheese,0.6443651431546661,zinc22
cheese,0.6609146251125705,zinc22
cheese,0.6651851117427375,zinc22
cheese,0.5993296779332422,zinc22
cheese,0.7039782498178534,zinc22
cheese,0.4957947690855325,zinc22
cheese,0.6793448933515445,zinc22
cheese,0.6770720959312246,zinc22
cheese,0.6178973651968588,zinc22
cheese,0.6790527920589827,zinc22
cheese,0.7409459577678393,zinc22
cheese,0.6723241965727055,zinc22
cheese,0.6831804176816242,zinc22
cheese,0.6511595982552756,zinc22
cheese,0.7991797475155578,zinc22
cheese,0.8315515814783803,zinc22
cheese,0.647411329538125,zinc22
cheese,0.7802832239809996,zinc22
cheese,0.7015643146928501,zinc22
cheese,0.6391144945301789,zinc22
cheese,0.763269762211277,zinc22
cheese,0.6825254390263619,zinc22
cheese,0.7974536660644168,zinc22
cheese,0.6245488292792549,zinc22
cheese,0.8186484794952562,zinc22
cheese,0.6466416470891039,zinc22
cheese,0.6080745000105501,zinc22
cheese,0.5924755477764196,zinc22
cheese,0.7279754922724019,zinc22
cheese,0.818481126650123,zinc22
cheese,0.6995169336530286,zinc22
cheese,0.8119737576008376,zinc22
cheese,0.6572474000445693,zinc22
cheese,0.5001273574768244,zinc22
cheese,0.6907044385684408,zinc22
cheese,0.7903473394375565,zinc22
cheese,0.7370901306676052,zinc22
cheese,0.6340398880711676,zinc22
cheese,0.5572638376379142,zinc22
cheese,0.5486273823376498,zinc22
cheese,0.6543081507485804,zinc22
cheese,0.6844866825078352,zinc22
cheese,0.7143203675061827,zinc22
cheese,0.7049498330126699,zinc22
cheese,0.7631480882707502,zinc22
cheese,0.6018000518232934,zinc22
cheese,0.4990218460151154,zinc22
cheese,0.906639068622771,zinc22
cheese,0.6972325043926009,zinc22
cheese,0.6479120219409351,zinc22
cheese,0.6937223070134505,zinc22
cheese,0.549571047909573,zinc22
cheese,0.6410836122355371,zinc22
cheese,0.4608278511455503,zinc22
cheese,0.7801876190939134,zinc22
cheese,0.6527678915679965,zinc22
cheese,0.6268828585085112,zinc22
cheese,0.6372081859897434,zinc22
cheese,0.586238312287063,zinc22
cheese,0.6612878654487233,zinc22
cheese,0.3982738516974231,zinc22
cheese,0.5929181334935605,zinc22
cheese,0.6381048107041756,zinc22
cheese,0.5944523390222091,zinc22
cheese,0.668570906506474,zinc22
cheese,0.5890226593632085,zinc22
cheese,0.4616126598612438,zinc22
cheese,0.5487448797300911,zinc22
cheese,0.8327959200119154,zinc22
cheese,0.6841724564664458,zinc22
cheese,0.7561303227774566,zinc22
cheese,0.735427279560701,zinc22
cheese,0.6818598134272114,zinc22
cheese,0.7620260879248937,zinc22
cheese,0.6830549138999426,zinc22
cheese,0.6571547437694665,zinc22
cheese,0.6107265052775793,zinc22
cheese,0.7015809848023974,zinc22
cheese,0.6654648430354068,zinc22
cheese,0.7189403596459074,zinc22
cheese,0.6994179026091621,zinc22
cheese,0.6121274711119487,zinc22
cheese,0.5522221736280797,zinc22
cheese,0.6670828283989381,zinc22
cheese,0.7083352580132999,zinc22
cheese,0.7460080064646839,zinc22
cheese,0.6766177335718241,zinc22
cheese,0.7892851178624188,zinc22
cheese,0.7594626596252954,zinc22
cheese,0.699807725070151,zinc22
cheese,0.7626560250187866,zinc22
cheese,0.7221219743628142,zinc22
cheese,0.8145775855361516,zinc22
cheese,0.5413520542269002,zinc22
cheese,0.7069035862933406,zinc22
cheese,0.7805614039085353,zinc22
cheese,0.7726340789191736,zinc22
cheese,0.8044024793036069,zinc22
cheese,0.7422311753420154,zinc22
cheese,0.5685552104142728,zinc22
cheese,0.6975241453892733,zinc22
cheese,0.7261803070375626,zinc22
cheese,0.692269866202783,zinc22
cheese,0.6606476236076102,zinc22
cheese,0.6963349254425978,zinc22
cheese,0.7418950254260043,zinc22
cheese,0.6090615016585227,zinc22
cheese,0.5674127810524658,zinc22
cheese,0.5904243401422268,zinc22
cheese,0.7280511065947632,zinc22
cheese,0.5430764511978429,zinc22
cheese,0.6528850265665189,zinc22
cheese,0.6844806805903726,zinc22
cheese,0.5979430401477488,zinc22
cheese,0.6945037614177553,zinc22
cheese,0.630469966922694,zinc22
cheese,0.6428740322951177,zinc22
cheese,0.6631454078554495,zinc22
cheese,0.7580167454617599,zinc22
cheese,0.6468451334729689,zinc22
cheese,0.5761149359446207,zinc22
cheese,0.6582095387235102,zinc22
cheese,0.7853211661551976,zinc22
cheese,0.5739602178259415,zinc22
cheese,0.5093527958276018,zinc22
cheese,0.695296144073887,zinc22
cheese,0.7009765706718513,zinc22
cheese,0.5797133017469692,zinc22
cheese,0.7375494921482706,zinc22
cheese,0.6793257157590118,zinc22
cheese,0.7025422578939288,zinc22
cheese,0.6223737475363518,zinc22
cheese,0.5188585249620982,zinc22
cheese,0.5742797415411657,zinc22
cheese,0.7794801975531327,zinc22
cheese,0.6135620088832607,zinc22
cheese,0.5858763133408178,zinc22
cheese,0.5299926846475431,zinc22
cheese,0.5962685097922631,zinc22
cheese,0.6219434098631859,zinc22
cheese,0.5168164456364593,zinc22
cheese,0.7416344060678224,zinc22
cheese,0.7158516061703786,zinc22
cheese,0.7400341605361291,zinc22
