metric,value,distribution
cheese,0.6182969215491558,zinc22
cheese,0.5369429692911567,zinc22
cheese,0.5152943756167088,zinc22
cheese,0.5679962677863308,zinc22
cheese,0.4840531214054167,zinc22
cheese,0.499839897534422,zinc22
cheese,0.5267741935483872,zinc22
cheese,0.5529371584699454,zinc22
cheese,0.5848450057405281,zinc22
cheese,0.5713972842750766,zinc22
cheese,0.5486221817353678,zinc22
cheese,0.588706825415537,zinc22
cheese,0.5593882948143039,zinc22
cheese,0.5828227819378262,zinc22
cheese,0.5274420667479764,zinc22
cheese,0.5409209951986031,zinc22
cheese,0.5436516729448261,zinc22
cheese,0.612582384661474,zinc22
cheese,0.5278592375366569,zinc22
cheese,0.5612586743240009,zinc22
cheese,0.5642857142857143,zinc22
cheese,0.6096496545035761,zinc22
cheese,0.5758302361827119,zinc22
cheese,0.6481103166496425,zinc22
cheese,0.5990034405030253,zinc22
cheese,0.6694710006373487,zinc22
cheese,0.5838693715982187,zinc22
cheese,0.6161424332344214,zinc22
cheese,0.5508563439356868,zinc22
cheese,0.5794594594594595,zinc22
cheese,0.6485938989513822,zinc22
cheese,0.5732009925558312,zinc22
cheese,0.6465824027488035,zinc22
cheese,0.6172702636117271,zinc22
cheese,0.5639770828359991,zinc22
cheese,0.5931154036651808,zinc22
cheese,0.5866050808314087,zinc22
cheese,0.6410121244069584,zinc22
cheese,0.6424300406601291,zinc22
cheese,0.5742843624319849,zinc22
cheese,0.574729417487535,zinc22
cheese,0.6306535864441329,zinc22
cheese,0.5744655151588356,zinc22
cheese,0.6228349240014139,zinc22
cheese,0.5914713158204736,zinc22
cheese,0.5127949484878698,zinc22
cheese,0.6550338940497114,zinc22
cheese,0.5456634118322803,zinc22
cheese,0.5853275320280397,zinc22
cheese,0.622030492849545,zinc22
cheese,0.605495702699431,zinc22
cheese,0.5699725148877691,zinc22
cheese,0.5205202960305001,zinc22
cheese,0.6164269582788542,zinc22
cheese,0.5343315007603229,zinc22
cheese,0.5661338892749594,zinc22
cheese,0.7344734473447345,zinc22
cheese,0.6054405677114134,zinc22
cheese,0.5835161029666398,zinc22
cheese,0.5974146966344474,zinc22
cheese,0.5158660202732481,zinc22
cheese,0.5922263109475621,zinc22
cheese,0.7319495734114352,zinc22
cheese,0.5563990036769066,zinc22
cheese,0.5685025034137461,zinc22
cheese,0.6669996254214009,zinc22
cheese,0.5458046446493173,zinc22
cheese,0.5217248549852249,zinc22
cheese,0.6051412691060676,zinc22
cheese,0.6044251931631937,zinc22
cheese,0.5441192834093691,zinc22
cheese,0.5864233406951064,zinc22
cheese,0.5239669421487603,zinc22
cheese,0.5610115672488092,zinc22
cheese,0.5658602150537635,zinc22
cheese,0.6145718147192529,zinc22
cheese,0.623354251261228,zinc22
cheese,0.5668632075471698,zinc22
cheese,0.6290823295666211,zinc22
cheese,0.5822531227904784,zinc22
cheese,0.6974226804123711,zinc22
cheese,0.6077660358810519,zinc22
cheese,0.6578230486793794,zinc22
cheese,0.6174319625944131,zinc22
cheese,0.604441277757986,zinc22
cheese,0.6202339181286549,zinc22
cheese,0.6278398846015146,zinc22
cheese,0.718601971578543,zinc22
cheese,0.6309467174119886,zinc22
cheese,0.6204777365491652,zinc22
cheese,0.6201719336481415,zinc22
cheese,0.639760310186817,zinc22
cheese,0.6035608308605341,zinc22
cheese,0.5854319593450028,zinc22
cheese,0.6589917595734367,zinc22
cheese,0.6022553741336779,zinc22
cheese,0.6258274300313553,zinc22
cheese,0.6872785042160576,zinc22
cheese,0.673659956342469,zinc22
cheese,0.6017351069982648,zinc22
cheese,0.7087583976113461,zinc22
cheese,0.6833672127227072,zinc22
cheese,0.6170963035019454,zinc22
cheese,0.60941893158388,zinc22
cheese,0.5625797471291034,zinc22
cheese,0.6380632790028763,zinc22
cheese,0.5553678044384365,zinc22
cheese,0.6254970760233918,zinc22
cheese,0.645595073520171,zinc22
cheese,0.5576837416481069,zinc22
cheese,0.6018387553041018,zinc22
cheese,0.575393678486462,zinc22
cheese,0.6032171581769437,zinc22
cheese,0.5946168312176775,zinc22
cheese,0.6123869171885874,zinc22
cheese,0.6802079555071938,zinc22
cheese,0.6265254432419987,zinc22
cheese,0.6833740831295844,zinc22
cheese,0.6034273213417598,zinc22
cheese,0.5453917846047636,zinc22
cheese,0.620368127875999,zinc22
cheese,0.6039662051161699,zinc22
cheese,0.5470816233470133,zinc22
cheese,0.6570112713610472,zinc22
cheese,0.5520356540592628,zinc22
cheese,0.6171103103568523,zinc22
cheese,0.6627254997562164,zinc22
cheese,0.5780085522296885,zinc22
cheese,0.5937956204379562,zinc22
cheese,0.5988037467554452,zinc22
cheese,0.605789351313648,zinc22
cheese,0.6322540473225404,zinc22
cheese,0.5248618784530387,zinc22
cheese,0.7798361688720857,zinc22
cheese,0.561978997510014,zinc22
cheese,0.6128563443264394,zinc22
cheese,0.6198172874209417,zinc22
cheese,0.5248908296943231,zinc22
cheese,0.6081609195402299,zinc22
cheese,0.5839539607312119,zinc22
cheese,0.5825605066726984,zinc22
cheese,0.6446328996282528,zinc22
cheese,0.6155394074902181,zinc22
cheese,0.5272045028142589,zinc22
cheese,0.6310937105329628,zinc22
cheese,0.6479916657020488,zinc22
cheese,0.5085708276369755,zinc22
cheese,0.5956545961002786,zinc22
cheese,0.5592544710191769,zinc22
cheese,0.591130152848541,zinc22
cheese,0.5509180066142092,zinc22
cheese,0.6225939505041247,zinc22
cheese,0.5699745547073791,zinc22
cheese,0.595120806943467,zinc22
cheese,0.6013416387158601,zinc22
cheese,0.5547975352112676,zinc22
